173612370,14,16,335,381.375,undefined,undefined,undefined,undefined,undefined,0,1,1,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
758843613,20,10,4647.7,1618.4,-1,-5,3,3,1,-5,-5,5,5,1,-1,-5,2,2,1,-2,-5,4,4,1,undefined
177386686,22,8,2911.4545454545455,1575.625,-3,-3,2,3,5,3,-1,1,3,5,3,1,-3,0,5,-4,-5,5,5,5,undefined
851256940,29,1,2573.862068965517,35151,1,0,1,1,-3,1,1,undefined,2,-2,-3,-1,1,2,-3,1,0,-1,-2,-2,undefined
350316453,30,0,4275.366666666667,NaN,-2,-2,3,4,5,0,-1,3,4,4,-4,-4,3,5,0,-5,-4,4,4,3,undefined
640553440,30,0,2959.9333333333334,NaN,3,1,2,0,2,1,1,0,0,1,1,0,0,0,1,-1,0,0,0,0,undefined
908958450,30,0,4222.566666666667,NaN,4,1,-1,0,0,0,1,-2,-1,2,2,1,-1,0,1,-2,-3,1,2,-4,undefined
696711339,29,1,2110.5172413793102,6495,-1,-1,1,2,-2,-3,-3,3,4,-3,-2,-2,1,2,-1,-3,-1,2,3,2,undefined
906701257,29,1,2182.896551724138,298,3,5,-3,1,4,-1,1,1,3,4,-5,-5,2,5,3,-4,1,2,-3,3,undefined
786220370,29,1,1820.551724137931,2489,0,0,0,0,-3,-2,-2,1,1,-3,undefined,-4,2,4,-5,-3,-5,4,4,2,undefined
147778129,30,0,1410.2333333333333,NaN,1,3,1,3,4,1,4,1,3,4,1,3,1,3,4,1,2,1,3,4,undefined
965459073,30,0,1907.9333333333334,NaN,-4,-3,1,4,2,-2,-1,-1,3,-3,-1,1,-2,2,4,-2,-2,-1,2,-1,undefined
508853681,30,0,1494.8,NaN,-3,-5,2,4,3,0,-2,0,1,-2,-2,-5,3,5,4,-1,-3,0,1,0,undefined
573261552,26,4,2931.1923076923076,1681,-3,-4,4,5,-2,-1,-3,3,4,3,1,-3,2,4,3,-4,-4,3,5,-1,undefined
210688171,28,2,4541.214285714285,13117.5,-2,-2,4,4,-2,-2,-3,4,4,-2,-2,-2,4,4,-1,0,-2,4,4,-1,undefined
315351187,30,0,1616.1666666666667,NaN,-4,-5,1,2,1,-4,-5,1,4,-1,-2,-4,-1,-1,1,-4,-5,2,3,0,undefined
903692283,29,1,1724.6206896551723,632,3,3,3,2,2,-1,2,2,3,2,3,3,-1,-2,2,-1,-1,2,2,3,undefined
112362126,30,0,1980.1666666666667,NaN,0,-2,1,3,-5,-3,-4,2,4,-5,1,1,0,2,-4,-1,-1,2,4,-5,undefined
177697437,28,2,4096.607142857143,3426.5,-3,-5,5,5,-5,1,-1,1,4,-5,2,1,-1,3,-5,-2,-3,2,4,1,undefined
295571901,30,0,2762.133333333333,NaN,2,2,-3,undefined,2,-2,-2,-3,0,-2,3,2,-3,-4,3,-3,-3,3,3,-3,undefined
584056043,29,1,1294.551724137931,712,0,2,0,-1,1,1,1,2,1,0,1,0,2,1,3,2,0,1,2,-1,undefined
931853367,28,2,1420.4285714285713,5510,3,2,-3,-2,5,2,2,-1,1,5,2,2,3,-3,5,1,0,-2,-1,5,undefined
876252809,30,0,2180.1666666666665,NaN,-5,-5,4,5,-5,-2,-4,3,4,-4,-2,-4,2,3,-1,1,2,-1,-1,0,undefined
189249221,27,3,3272.1111111111113,8268.666666666666,-5,-5,5,5,1,1,0,-1,-1,-1,1,0,-1,-1,undefined,-3,-4,3,5,undefined,undefined
366270556,30,0,2701.2,NaN,1,1,5,5,-5,-1,-5,5,5,-5,-1,1,5,5,-5,-4,-5,5,5,-5,undefined
941907108,29,1,3260.6206896551726,2589,-1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,-1,-2,1,1,1,undefined
250364656,30,0,1657.6666666666667,NaN,-2,0,0,5,4,-1,0,0,5,5,-5,-3,0,5,5,-5,-4,0,5,5,undefined
379141445,30,0,2444,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
688460824,29,1,1750.103448275862,1090,1,0,-1,-1,-1,-2,-2,-2,0,-1,-1,-2,-2,-2,-1,1,1,1,-2,1,undefined
571020599,28,2,1756.3214285714287,1332.5,2,-3,3,3,2,-1,-3,3,3,2,0,-3,3,3,2,-2,-3,3,3,2,undefined
209633291,28,2,2746.8214285714284,2594.5,0,-1,2,3,-2,0,0,0,0,-2,1,1,-1,-2,-2,-4,0,1,undefined,-2,undefined
941433184,23,7,995.1739130434783,739,-1,1,1,1,-1,-2,-3,-1,-1,1,-1,-2,-1,-3,-2,0,undefined,-1,1,1,undefined
766816003,30,0,1557.6333333333334,NaN,1,1,-1,1,5,0,-1,-1,3,5,-2,-3,1,3,5,-3,-3,2,4,5,undefined
279553567,30,0,2181.633333333333,NaN,1,-2,-1,2,5,-1,-2,-2,2,5,-2,-2,-1,1,5,0,-1,-2,1,5,undefined
357567057,30,0,2116.6,NaN,-1,-1,1,3,1,-3,-3,1,5,2,1,1,-2,2,3,-2,-5,3,5,1,undefined
468201833,30,0,1178.5333333333333,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
717815149,30,0,1253.2666666666667,NaN,-1,-1,1,3,-3,3,2,-1,0,5,4,3,-3,-1,4,1,1,-2,1,-1,undefined
300886088,28,2,3270.3214285714284,11207.5,0,-1,2,3,0,2,3,2,4,-2,0,-1,3,4,0,2,1,2,4,-1,undefined
690562061,30,0,1206.2,NaN,2,2,0,1,0,-2,-2,1,3,1,3,3,-3,-1,3,-3,-1,2,4,-3,undefined
667372906,30,0,1334.0333333333333,NaN,2,4,-3,-2,5,-1,-1,2,4,5,4,5,-3,-2,5,-4,-4,4,5,5,undefined
960571714,25,5,3220.08,3513,2,2,-1,-2,2,-2,-4,2,4,3,1,1,2,2,4,-3,-3,2,3,1,undefined
897667208,14,16,2710.6428571428573,1442.6875,2,-1,undefined,2,2,-3,0,0,3,-3,1,2,-2,1,-3,-3,-4,0,3,-3,undefined
865105049,26,4,2068.730769230769,2079,-3,-5,5,5,-5,5,5,0,0,-5,3,3,0,0,-5,-5,-5,5,5,-5,undefined
663688017,30,0,1416.2333333333333,NaN,-1,-3,5,5,5,1,-2,-5,-5,5,-5,-5,5,5,undefined,-5,-5,5,5,5,undefined
181185954,30,0,1189,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,undefined
101731812,30,0,1872.2333333333333,NaN,1,1,1,0,0,0,-1,2,1,0,2,2,-1,0,1,2,2,3,0,0,undefined
197920371,30,0,1817.4333333333334,NaN,-1,0,-1,0,-1,0,0,0,0,-1,0,0,1,1,-1,0,0,0,0,0,0
