615619608,7,B,1,4854,7,B,1,4920,7,B,2,4555,7,B,2,2655,7,B,3,4116,4,C,1,2622,4,C,-1,3244,4,C,2,2840,4,C,2,3074,8,A,3,3750,8,A,2,4820,8,A,2,3607,8,A,3,3073,2,D,2,3952,2,D,3,3863,2,D,2,3684,2,D,3,4583,7,B,1,2669,4,C,2,2556,8,A,0,2968,2,D,2,3064,m,27,black,2,2,3,2
876755285,0,B,-3,5780,0,B,-4,5759,0,B,3,6169,0,B,-2,5360,0,B,undefined,2482,4,C,2,7476,4,C,-3,5456,4,C,-1,4827,4,C,-1,6381,5,A,-2,6599,5,A,-3,4141,5,A,2,7484,5,A,-1,4257,7,D,1,8780,7,D,-2,3741,7,D,-1,5730,7,D,-1,3949,0,B,1,8607,4,C,2,5467,5,A,3,2918,7,D,1,3453,f,33,Caucasian,0,5,2,1
766943511,2,D,-1,7204,2,D,-3,8355,2,D,3,5849,2,D,-3,7670,2,D,undefined,4784,0,A,-3,4705,0,A,-3,5889,0,A,3,5389,0,A,-2,5054,8,C,0,7454,8,C,0,7135,8,C,1,4453,8,C,0,4457,3,B,-2,5464,3,B,-5,5651,3,B,3,6775,3,B,-3,8376,2,D,0,10373,0,A,-1,3469,8,C,-3,2493,3,B,-4,3836,m,23,Hispanic,5,0,4,3
307074719,8,B,2,2768,8,B,0,1376,8,B,1,1440,8,B,0,2208,8,B,1,1047,2,D,0,4551,2,D,1,3015,2,D,-1,2671,2,D,2,1808,5,C,1,1271,5,C,2,1863,5,C,1,1192,5,C,-1,1112,6,A,-2,2431,6,A,0,1216,6,A,1,1671,6,A,2,1904,8,B,1,1864,2,D,0,1424,5,C,-1,1224,6,A,1,1472,m,34,White,5,1,4,6
624210180,6,D,-3,17747,6,D,-2,8961,6,D,2,11948,6,D,-2,10597,6,D,undefined,3549,3,C,-1,14150,3,C,-2,10480,3,C,-2,10298,3,C,-2,9716,8,B,-2,14129,8,B,-1,6199,8,B,1,17447,8,B,-3,7982,4,A,2,9281,4,A,-1,7698,4,A,0,14664,4,A,-1,7999,6,D,0,15331,3,C,1,9482,8,B,1,4897,4,A,2,4632,f,69,Caucasian,2,1,6,2
918084156,5,D,-4,21546,5,D,-3,22015,5,D,4,9705,5,D,-4,6979,5,D,undefined,6286,4,C,-3,11567,4,C,-4,8873,4,C,-4,4707,4,C,-4,2957,8,B,-4,13890,8,B,-4,4696,8,B,-4,4118,8,B,-4,4028,6,A,-4,4755,6,A,-4,2695,6,A,-4,2656,6,A,-4,2204,5,D,5,11478,4,C,5,5036,8,B,5,4947,6,A,5,2972,f,44,White,5,2,4,3
941983970,5,D,-4,4764,5,D,-4,2709,5,D,4,3429,5,D,-4,4456,5,D,undefined,3344,3,C,-3,9077,3,C,-3,2689,3,C,3,3975,3,C,-4,11240,6,A,-4,3766,6,A,-4,3248,6,A,4,3734,6,A,-4,2244,4,B,-3,5073,4,B,-3,2190,4,B,3,2698,4,B,-3,1895,5,D,-5,2964,3,C,-5,1608,6,A,-5,2109,4,B,-5,1504,m,26,asian,3,1,4,4
668980716,1,A,-2,6841,1,A,-4,4075,1,A,4,5032,1,A,2,6939,1,A,undefined,7403,0,B,-4,4910,0,B,-2,2875,0,B,5,4062,0,B,-2,7635,3,D,1,6330,3,D,-2,4264,3,D,2,3487,3,D,-1,3804,5,C,-2,4581,5,C,-4,4592,5,C,2,4998,5,C,-1,2050,1,A,-2,6064,0,B,-4,3342,3,D,-3,3709,5,C,2,1835,m,25,asian,2,1,2,2
703494980,5,A,-1,3465,5,A,4,3133,5,A,2,3985,5,A,-5,2731,5,A,undefined,15285,4,B,3,3383,4,B,-2,4335,4,B,0,2300,4,B,3,2614,3,C,-2,2468,3,C,0,5281,3,C,3,4924,3,C,-2,1895,8,D,-1,1501,8,D,3,2316,8,D,2,2596,8,D,-4,2036,5,A,4,3281,4,B,2,26217,3,C,-1,2018,8,D,0,2466,f,27,White,5,1,4,3
298766556,0,B,-5,6016,0,B,-5,4930,0,B,5,9209,0,B,-3,6212,0,B,undefined,3148,7,C,3,5834,7,C,2,5398,7,C,3,3780,7,C,3,4180,4,D,3,11288,4,D,2,4216,4,D,2,5070,4,D,3,4545,1,A,-2,7460,1,A,-2,4858,1,A,1,7055,1,A,3,6422,0,B,2,4685,7,C,-2,3548,4,D,-2,2466,1,A,-1,4901,m,40,white,2,1,4,6
